研报名称,机构名称,发布时间,行业,研报地址
光伏行业周报,国新证券股份,2026-06-05,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606051823271594_1.pdf?1780644546000.pdf
光伏行业周报,国新证券股份,2026-06-04,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606041823243946_1.pdf?1780584305000.pdf
光伏行业2026年度中期投资策略：基本面底部已至，太空光伏志在星海,开源证券,2026-05-24,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605241822838303_1.pdf?1779634481000.pdf
光伏设备2025年报&2026年一季报总结：光伏设备商基本面筑底，看好太空算力应用场景打开&海外地面需求增长,东吴证券,2026-05-19,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605181822411405_1.pdf?1779175389000.pdf
光伏行业25Q4&26Q1业绩点评：盈利持续承压，供给出清迎来行业修复,五矿证券,2026-05-14,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605141822313668_1.pdf?1778774420000.pdf
工商储专题：商业模式多样化、国内海外共发展,东吴证券,2026-05-06,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605061821976179_1.pdf?1778054204000.pdf
电力设备行业周报：算电协同加速落地，多因素共振持续强化国产算力产业趋势,华鑫证券,2026-05-06,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605061821986349_1.pdf?1778082518000.pdf
光储板块2025&26Q1业绩总结：光伏底部夯实，储能高景气延续,国金证券,2026-05-06,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202605061821986436_1.pdf?1778083152000.pdf
光伏行业周报,国新证券股份,2026-04-28,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606051823272377_1.pdf?1780649153000.pdf
电力能源行业周报,英大证券,2026-04-22,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202604221821410497_1.pdf?1776845802000.pdf
光伏行业周报,国新证券股份,2026-04-20,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606051823272209_1.pdf?1780648642000.pdf
光伏行业周报,国新证券股份,2026-04-14,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606061823322805_1.pdf?1780745732000.pdf
202603光伏行业月度报告：1-2月光伏新增装机同降17.7%，组件、逆变器出口额同比下降,山西证券,2026-04-13,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202604131821148239_1.pdf?1776090734000.pdf
2026年光伏行业分析,联合资信评估,2026-04-08,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202604081821066639_1.pdf?1775670800000.pdf
光伏行业周报,国新证券股份,2026-04-08,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202606061823322776_1.pdf?1780745448000.pdf
光伏行业周报,国新证券股份,2026-04-02,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202604021820991732_1.pdf?1775167823000.pdf
光伏行业周报,国新证券股份,2026-03-26,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603261820764254_1.pdf?1774539163000.pdf
新能源行业《“十五五”规划纲要》点评,国新证券股份,2026-03-20,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603201820668666_1.pdf?1774026142000.pdf
光伏行业周报,国新证券股份,2026-03-19,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603191820651253_1.pdf?1773949940000.pdf
电力设备：中国加入《三倍核能宣言》， 全球核能加速复兴，看好中国核工业的成长性,中邮证券,2026-03-18,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603181820617064_1.pdf?1773839938000.pdf
光模块设备行业深度：AI发展带动光模块需求爆发，看好封装测试设备商充分受益,东吴证券,2026-03-16,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603161820571607_1.pdf?1773665112000.pdf
钙钛矿——下一代太空光伏的重要选择,华金证券,2026-03-15,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603151820564994_1.pdf?1773586397000.pdf
光伏行业周报,国新证券股份,2026-03-12,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603121820506040_1.pdf?1773298262000.pdf
光伏行业周报,国新证券股份,2026-03-12,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603121820526584_1.pdf?1773349316000.pdf
太空光伏专题（二）市场篇：通信奠基、算力爆发，百GW级高盈利市场可期,国金证券,2026-03-10,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603101820434541_1.pdf?1773128891000.pdf
电力设备行业周报：算电协同上升为国家战略，AI能耗时代下绿电、电力设备与IDC三大主线共振,华鑫证券,2026-03-10,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202603101820459725_1.pdf?1773165386000.pdf
