研报名称,机构名称,发布时间,行业,研报地址
工程机械电动化：电动化进程取得突破，国内龙头有望通过电动化弯道超车,东吴证券,2024-07-15,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407151637920067_1.pdf?1721058136000.pdf
机械行业周报：看好船舶、矿山机械、叉车行业景气度提升,国金证券,2024-07-14,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407141637882216_1.pdf?1720949211000.pdf
机器人行业研究：国产人形运动能力整体提升，24-25年密集实现小批量生产,国金证券,2024-07-11,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407111637800956_1.pdf?1720725777000.pdf
信达机械行业2024年度中期策略报告：关注内需复苏和设备更替主线,信达证券,2024-07-09,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407091637721823_1.pdf?1720548457000.pdf
星闪应用场景加速落地，下游应用领域产业发展迅猛,深圳汉鼎智库咨询服务,2024-07-08,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407081637674868_1.pdf?1720458267000.pdf
工业气体月度跟踪：6月气体价格小幅振荡；盈德首个东南亚液体空分项目开工,海通国际,2024-07-04,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407041637550079_1.pdf?1720106376000.pdf
石化装备行业深度报告二：石化大规模设备更新在即，装备受益几何？,中泰证券,2024-07-01,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407011637125527_1.pdf?1719833214000.pdf
中国eVTOL动力系统前装市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-07-01,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407011637400126_1.pdf?1719868487000.pdf
机械行业周报：看好船舶、工业母机、叉车行业景气度提升,国金证券,2024-07-01,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202407011637125460_1.pdf?1719818116000.pdf
机械设备行业2024年半年度投资策略：景气复苏，科技起舞,国元证券,2024-06-27,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406271636947937_1.pdf?1719494049000.pdf
半导体前道量检测设备行业报告（二） ：先进制程关键设备，电子束检测正崛起,国海证券,2024-06-26,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406251636886090_1.pdf?1719384270000.pdf
2024年中期机器人行业投资策略报告：群雄逐鹿，曙光将至,万联证券,2024-06-25,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406251636881458_1.pdf?1719345327000.pdf
机器人行业周报：华为云发布盘古具身智能大模型，乐聚夸父机器人同步亮相,西南证券,2024-06-24,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406241636814602_1.pdf?1719225749000.pdf
矿山装备行业研究：高岭巍峨稳如山，大海波涛破岸来,国金证券,2024-06-24,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406241636813708_1.pdf?1719229055000.pdf
机器人系列报告：传感器：汽车电子国产替代，机器人再添增长空间,天风证券,2024-06-21,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406211636767952_1.pdf?1718996544000.pdf
机械设备行业月报：国铁集团24年首次招标出炉，地产利好政策出台有利于工程机械内需改善,中国银河,2024-06-06,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406051635610665_1.pdf?1717659277000.pdf
专用机械：新一轮农机补贴政策落地，优机优补引导市场结构升级,国投证券,2024-06-06,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406061635677852_1.pdf?1717667476000.pdf
走进“芯”时代系列之八十“功率半导”深度分析：“功率半导”铸全球竞争护城河，产品格局看“底部”机遇,华金证券,2024-06-05,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202406051635587027_1.pdf?1717609944000.pdf
2024年中国人形机器人行业研究：关注人形机器人产业链机遇（精简版）,头豹研究院,2024-05-31,专用设备,https://pdf.dfcfw.com/pdf/H3_AP202405311635077204_1.pdf?1717184336000.pdf
