研报名称,机构名称,发布时间,行业,研报地址
电气设备行业动态点评：看好硅负极CVD工艺,东方财富证券,2024-01-30,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619516959_1.pdf?1706634692000.pdf
电力设备行业周报：能源局数据出炉，2023年风光储装机高增,华鑫证券,2024-01-30,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619498953_1.pdf?1706610517000.pdf
电气设备：市值管理全面推开，关注电力央企优质资产注入+高分红优势,华金证券,2024-01-30,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619508588_1.pdf?1706618523000.pdf
新能源产业趋势跟踪（24年1月下）：23年风光新增装机破纪录，消纳或成新能源主线,五矿证券,2024-01-30,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619509721_1.pdf?1706623509000.pdf
电气设备行业深度研究：eFuse：48V和efuse时代要到了吗？,天风证券,2024-01-29,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619253358_1.pdf?1706525534000.pdf
电力设备与新能源行业周报：风光新增装机创新高，广东海风建设进一步推进,中泰证券,2024-01-29,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619257069_1.pdf?1706540838000.pdf
电力设备与新能源行业1月第4周周报：2023年新增风光装机再创新高,中银证券,2024-01-29,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619273247_1.pdf?1706544736000.pdf
电力设备及新能源行业周报：23年国内风光装机高速增长，行业景气度持续向好,源达信息,2024-01-29,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619278262_1.pdf?1706551557000.pdf
电力设备及新能源行业周报：宁德时代电池将装车保时捷全新纯电动Macan，光伏主产业链价格企稳【第5期】,华金证券,2024-01-29,电源设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619248993_1.pdf?1706520474000.pdf
